Created on 07-08-2020,https://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-03-12,BTCUSD,7938.05,7969.45,4644,4857.1,98037.07,599721872.36
2020-03-11,BTCUSD,7894.68,7987.97,7583.27,7938.05,13293.92,103764676.39
2020-03-10,BTCUSD,7934.52,8158.25,7733.56,7894.68,16533.72,131472969.13
2020-03-09,BTCUSD,8037.76,8187.03,7630,7934.52,24964.13,195979885.29
2020-03-08,BTCUSD,8901.37,8901.37,8002.2,8037.76,15340.83,129008495.68
2020-03-07,BTCUSD,9158.51,9214.67,8850.47,8901.37,5965.47,53780144.82
2020-03-06,BTCUSD,9070.17,9182.08,9000.01,9158.51,6422.13,58396482.9
2020-03-05,BTCUSD,8760.66,9174.24,8759.99,9070.17,9805.85,88508634.72
2020-03-04,BTCUSD,8757.84,8847,8670.57,8760.66,5681.87,49748069.48
2020-03-03,BTCUSD,8915,8927.45,8635.31,8757.84,8815.55,77364323.32
2020-03-02,BTCUSD,8522.31,8973.45,8487.33,8915,10216.69,89626512.22
2020-03-01,BTCUSD,8525.07,8752.34,8400,8522.31,7214.76,61692860.61
2020-02-29,BTCUSD,8708.89,8799,8520.67,8525.07,5120.8,44388605.14
2020-02-28,BTCUSD,8812.49,8899.94,8428.8,8708.89,13228.54,114501460.67
2020-02-27,BTCUSD,8778.3,8972.92,8520,8812.49,14584.29,128072423.55
2020-02-26,BTCUSD,9305,9375.36,8602,8778.3,19723.02,176691360.62
2020-02-25,BTCUSD,9660,9681.56,9230,9305,8965.56,84589834.52
2020-02-24,BTCUSD,9965.01,10030,9474.74,9660,10615.94,103127740.95
2020-02-23,BTCUSD,9668.23,10025.66,9667.13,9965.01,5394.83,53323539.91
2020-02-22,BTCUSD,9695.66,9722.97,9575.01,9668.23,3301.24,31900686.52
2020-02-21,BTCUSD,9610.05,9769.66,9567.5,9695.66,6775.66,65643474.71
2020-02-20,BTCUSD,9600.08,9698.1,9393.39,9610.05,12023.23,115121820.3
2020-02-19,BTCUSD,10188.04,10315,9280.98,9600.08,14806,147489049.59
2020-02-18,BTCUSD,9700,10298.25,9610.27,10188.04,11353.51,112671505.7
2020-02-17,BTCUSD,9921,9969.38,9467,9700,9867.19,95521907.51
2020-02-16,BTCUSD,9911.22,10048.34,9612.12,9921,9068.01,89415227.11
2020-02-15,BTCUSD,10371.33,10400,9750,9911.22,10903.02,109647289.12
2020-02-14,BTCUSD,10236.49,10395.66,10102.5,10371.33,8025.16,82454186.73
2020-02-13,BTCUSD,10351.13,10522.51,10083.1,10236.49,15985.79,164489334.28
2020-02-12,BTCUSD,10270.01,10483.86,10250,10351.13,13601.13,140756956.9
2020-02-11,BTCUSD,9851.78,10400,9706,10270.01,16160.17,162366778.03
2020-02-10,BTCUSD,10168.35,10199,9736,9851.78,12660.26,125725792.08
2020-02-09,BTCUSD,9905.64,10178.91,9888.76,10168.35,9088.19,91494054.83
2020-02-08,BTCUSD,9808.05,9955,9653.47,9905.64,7747.21,76074037.67
2020-02-07,BTCUSD,9763.01,9885,9713.99,9808.05,8456.27,82708035.97
2020-02-06,BTCUSD,9613.82,9857,9521.47,9763.01,12615,122405800.98
2020-02-05,BTCUSD,9164.33,9769.7,9150,9613.82,12951.51,123258599.39
2020-02-04,BTCUSD,9280.49,9350,9078.05,9164.33,7949.7,73078147.53
2020-02-03,BTCUSD,9323.5,9619.95,9220,9280.49,10892.3,101814467.86
2020-02-02,BTCUSD,9380.18,9480,9140,9323.5,6839.38,63998538.22
2020-02-01,BTCUSD,9334.98,9458.08,9285.01,9380.18,4383.54,41082054.86
2020-01-31,BTCUSD,9503.08,9522.5,9195.49,9334.98,9435.38,88011727.74
2020-01-30,BTCUSD,9288.44,9574.68,9185,9503.08,11818.13,110968661.23
2020-01-29,BTCUSD,9394.5,9439.83,9224.75,9288.44,12035.69,112347657.24
2020-01-28,BTCUSD,8895.96,9418.91,8880.87,9394.5,16365.39,148641909.41
2020-01-27,BTCUSD,8595,8985,8556.6,8895.96,9424.43,82720725.29
2020-01-26,BTCUSD,8326.81,8595,8278.68,8595,5452.53,46119129.81
2020-01-25,BTCUSD,8427.26,8437.76,8252.73,8326.81,3780.8,31471643.07
2020-01-24,BTCUSD,8385.22,8509.99,8216.71,8427.26,8619.14,72301029.34
2020-01-23,BTCUSD,8660.38,8665,8278,8385.22,11982.41,100837510.23
2020-01-22,BTCUSD,8722.03,8791.76,8565,8660.38,5339.98,46253524.36
2020-01-21,BTCUSD,8628.89,8774.31,8465,8722.03,7130.48,61567982.67
2020-01-20,BTCUSD,8697.53,8734.84,8504.06,8628.89,5600.37,48374393.64
2020-01-19,BTCUSD,8909.32,9194.99,8465,8697.53,13287.91,117374954.06
2020-01-18,BTCUSD,8899.42,8980,8800.1,8909.32,5517.04,49095249.12
2020-01-17,BTCUSD,8714.76,9013,8665.67,8899.42,15260.04,135413608.3
2020-01-16,BTCUSD,8808.81,8850,8580,8714.76,9215.42,79942860.78
2020-01-15,BTCUSD,8815.69,8900,8550,8808.81,14653.58,128351069.96
2020-01-14,BTCUSD,8104.5,8893.69,8104.5,8815.69,26326.67,226079918.15
2020-01-13,BTCUSD,8180.81,8195.81,8041.95,8104.5,6678.03,54105551.55
2020-01-12,BTCUSD,8020,8185,7963.25,8180.81,3831.56,31064993.68
2020-01-11,BTCUSD,8198.09,8290,8000.01,8020,7482.51,60843999.25
2020-01-10,BTCUSD,7813.78,8199.77,7671,8198.09,13367.2,106099896.16
2020-01-09,BTCUSD,8045.51,8048.67,7744.48,7813.78,9300.17,73385689.32
2020-01-08,BTCUSD,8158.52,8469.39,7845,8045.51,23470.24,192691236.07
2020-01-07,BTCUSD,7764.63,8216,7723,8158.52,19215.66,153096310.25
2020-01-06,BTCUSD,7355.4,7805,7343.17,7764.63,11426.17,86500479.01
2020-01-05,BTCUSD,7348.63,7488.87,7312.22,7355.4,5916.67,43942653.33
2020-01-04,BTCUSD,7334.45,7398,7263.32,7348.63,4742.47,34732882.54
2020-01-03,BTCUSD,6945.02,7401.2,6854.67,7334.45,13605.13,98350543.2
2020-01-02,BTCUSD,7174.33,7186.18,6903,6945.02,7645.56,53678518.9
2020-01-01,BTCUSD,7165.72,7238.14,7136.05,7174.33,3350.63,24110757.06
2019-12-31,BTCUSD,7218,7298.67,7111,7165.72,6755.97,48557590.58
2019-12-30,BTCUSD,7384.89,7386.28,7200,7218,7343.62,53490940.64
2019-12-29,BTCUSD,7302.67,7531,7278.07,7384.89,6534.78,48364332.97
2019-12-28,BTCUSD,7245.83,7346,7232.55,7302.67,4621.76,33749828.17
2019-12-27,BTCUSD,7194.13,7254,7053.32,7245.83,8398.22,60314011.48
2019-12-26,BTCUSD,7192.12,7432.1,7140,7194.13,7488.78,54299156.65
2019-12-25,BTCUSD,7255.01,7265.12,7115.5,7192.12,3292.87,23699969.29
2019-12-24,BTCUSD,7310.79,7426.15,7151.08,7255.01,7730.62,56354605.22
2019-12-23,BTCUSD,7513.06,7688.99,7259.19,7310.79,14577.19,109481370.4
2019-12-22,BTCUSD,7143.01,7521.55,7125,7513.06,9719.68,71227014.01
2019-12-21,BTCUSD,7190,7190,7099.57,7143.01,3385.22,24187724.92
2019-12-20,BTCUSD,7149.12,7220,7073.66,7190,6019.75,43062249.14
2019-12-19,BTCUSD,7285.53,7371.7,7044.45,7149.12,10425.96,74709751.83
2019-12-18,BTCUSD,6616.62,7448.24,6430.77,7285.53,21114.56,145007982.08
2019-12-17,BTCUSD,6877.03,6933.21,6556,6616.62,13218.82,88872527.31
2019-12-16,BTCUSD,7111,7137,6809.47,6877.03,11416.24,79522988.67
2019-12-15,BTCUSD,7062.91,7220.01,7006.01,7111,4842.35,34348521.65
2019-12-14,BTCUSD,7249.9,7264.33,7008.03,7062.91,4230.98,30170379.21
2019-12-13,BTCUSD,7185.91,7299.21,7183.29,7249.9,6038.75,43674273.97
2019-12-12,BTCUSD,7201.23,7290.96,7075.01,7185.91,8153.47,58566734.59
2019-12-11,BTCUSD,7219.37,7263.31,7124.45,7201.23,5816.41,41877814.55
2019-12-10,BTCUSD,7337.51,7398,7156.03,7219.37,7008.73,51045388.11
2019-12-09,BTCUSD,7520,7659.38,7262.87,7337.51,9490.09,70828006
2019-12-08,BTCUSD,7502.19,7580.84,7387.5,7520,4216.34,31575400.86
2019-12-07,BTCUSD,7540.08,7643,7487,7502.19,4832.47,36437469.92
2019-12-06,BTCUSD,7393.54,7609.5,7305.75,7540.08,8964.77,66659940.15
2019-12-05,BTCUSD,7198.99,7489.87,7155.99,7393.54,9110.78,66820459.93
2019-12-04,BTCUSD,7302.94,7775,7080,7198.99,14751.65,108209077.2
2019-12-03,BTCUSD,7305.01,7412.85,7237.26,7302.94,6168.78,45204926.08
2019-12-02,BTCUSD,7404.27,7430,7157.33,7305.01,6890.2,50317914.33
2019-12-01,BTCUSD,7555.92,7555.92,7237.16,7404.27,8666.28,63712916.06
2019-11-30,BTCUSD,7760,7820,7453,7555.92,6097.73,46451112.68
2019-11-29,BTCUSD,7432.41,7870.1,7411,7760,10652.57,81447502.91
2019-11-28,BTCUSD,7523.72,7660.82,7370.62,7432.41,8602.08,64804461.42
2019-11-27,BTCUSD,7162.67,7678.76,6850,7523.72,18089.43,132678382.58
2019-11-26,BTCUSD,7127.01,7340.59,7021.84,7162.67,11809.08,84391239.35
2019-11-25,BTCUSD,6908.64,7379.99,6526,7127.01,26339.93,183067325.5
2019-11-24,BTCUSD,7329.29,7344,6865,6908.64,10399.12,73687131.73
2019-11-23,BTCUSD,7283.03,7361.41,7102.21,7329.29,7603.46,55125559.51
2019-11-22,BTCUSD,7616.46,7720,6775.47,7283.03,31414.77,226665509.68
2019-11-21,BTCUSD,8082.96,8114.97,7374.5,7616.46,14309.17,110363787.99
2019-11-20,BTCUSD,8123.36,8222.41,8030.05,8082.96,5263.35,42638326.58
2019-11-19,BTCUSD,8168.84,8197.82,7980.07,8123.36,7242.41,58647103.34
2019-11-18,BTCUSD,8500.01,8501.01,8027,8168.84,8968.58,74336153.47
2019-11-17,BTCUSD,8481,8637.01,8371.02,8500.01,3708.88,31587141
2019-11-16,BTCUSD,8457.48,8531.03,8423,8481,2712.34,22976431.85
2019-11-15,BTCUSD,8630,8773.22,8361,8457.48,10124.29,86235990.88
2019-11-14,BTCUSD,8758.34,8784.61,8558.01,8630,5518.64,47735094.39
2019-11-13,BTCUSD,8810,8838.8,8705,8758.34,4486.28,39248185.72
